id;t1;t2;r1;r2;n1;n2;rob;indirectness
1;2;5;70;45;405;410;1;2
1;2;4;70;32;405;202;1;2
1;4;5;32;45;202;410;1;2
2;3;4;302;154;6766;3954;1;2
2;3;5;302;119;6766;4096;1;2
2;4;5;154;119;3954;4096;1;2
3;3;6;8;1;196;196;1;1
4;3;5;200;138;2826;2800;1;3
5;2;4;799;567;7040;7072;1;2
6;2;5;380;337;5230;5183;2;2
7;1;6;202;163;2721;2715;1;1
8;1;5;489;449;2646;2623;1;3
9;1;3;20;29;424;416;2;2
10;1;4;154;177;4870;4841;1;3
11;2;3;86;75;3297;3272;3;2
12;1;5;155;102;2883;2837;1;1
13;3;4;176;136;2511;2508;1;1
14;2;4;665;569;8078;8098;1;2
15;2;6;320;242;3979;4020;1;2
16;2;4;251;216;5059;5095;1;1
17;1;5;399;335;3472;3432;1;1
18;1;6;115;93;2175;2167;1;3
19;1;3;118;140;1578;1631;2;1
20;4;6;845;690;5074;5087;1;1
21;1;2;34;37;2213;1102;2;1
21;2;3;37;43;1102;1081;2;1
21;1;3;34;43;2213;1081;2;1
22;2;5;97;93;1960;1970;2;3
22;2;4;97;95;1960;1965;2;3
22;4;5;95;93;1965;1970;2;3
